Date,Days_after_First_Cases,Cases_Domestic,Deaths_Domestic,DailyConfirmed_Domestic,DailyDeath_Domestic,Cases_Capital,Deaths_Capital,DailyConfirmed_Capital,DailyDeath_Capital,Cases_NonCapital,Deaths_NonCapital,DailyConfirmed_NonCapital,DailyDeath_NonCapital,Cases_Chungcheong,Deaths_Chungcheong,DailyConfirmed_Chungcheong,DailyDeath_Chungcheong,Cases_Honam,Deaths_Honam,DailyConfirmed_Honam,DailyDeath_Honam,Cases_Gyeongbuk,Deaths_Gyeongbuk,DailyConfirmed_Gyeongbuk,DailyDeath_Gyeongbuk,Cases_Gyeongnam,Deaths_Gyeongnam,DailyConfirmed_Gyeongnam,DailyDeath_Gyeongnam,Cases_Gangwon,Deaths_Gangwon,DailyConfirmed_Gangwon,DailyDeath_Gangwon,Cases_Jeju,Deaths_Jeju,DailyConfirmed_Jeju,DailyDeath_Jeju
2020-09-25,250,21175,395,95,2,9877,128,83,2,11298,267,12,0,990,7,1,0,695,3,3,0,7234,194,1,0,956,9,2,0,213,3,1,0,52,0,0,0
2020-09-26,251,21224,399,49,4,9916,130,39,2,11308,269,10,2,990,8,0,1,698,3,3,0,7235,195,1,1,958,10,2,1,213,3,0,0,52,0,0,0
2020-09-27,252,21055,401,73,2,9976,131,60,1,11079,270,13,1,993,8,3,0,699,4,1,1,7237,195,2,0,962,10,4,0,213,3,0,0,52,0,0,0
2020-09-28,253,21337,406,40,5,10009,134,33,3,11328,272,7,2,994,10,1,2,699,4,0,0,7238,195,1,0,964,11,2,1,214,3,1,0,52,0,0,0
2020-09-29,254,21360,407,23,1,10026,135,17,1,11334,272,6,0,995,10,1,0,699,4,0,0,7239,195,1,0,967,11,3,0,214,3,0,0,52,0,0,0
2020-09-30,255,21453,413,93,6,10102,138,76,3,11351,275,17,3,996,11,1,1,704,5,5,1,7240,195,1,0,974,12,7,1,214,3,0,0,52,0,0,0
2020-10-01,256,21520,415,67,2,10152,139,50,1,11368,276,17,1,1000,11,4,0,705,5,1,0,7242,196,2,1,983,12,9,0,214,3,0,0,52,0,0,0
2020-10-02,257,21573,416,53,1,10184,140,32,1,11389,276,21,0,1001,11,1,0,705,5,0,0,7242,196,0,0,1000,12,17,0,214,3,0,0,52,0,0,0
2020-10-03,258,21625,420,52,4,10224,144,40,4,11401,276,12,0,1003,11,2,0,705,5,0,0,7242,196,0,0,1009,12,9,0,214,3,0,0,52,0,0,0
2020-10-04,259,21672,421,47,1,10259,145,35,1,11413,276,12,0,1006,11,3,0,705,5,0,0,7243,196,1,0,1015,12,6,0,214,3,0,0,52,0,0,0
2020-10-05,260,21736,422,64,1,10308,146,49,1,11428,276,15,0,1009,11,3,0,707,5,2,0,7243,196,0,0,1026,12,11,0,214,3,0,0,52,0,0,0
